feature,f_statistic,p_value,eta_squared,significant,mean_positive,mean_neutral,mean_negative,std_positive,std_neutral,std_negative
mean_motion_energy,0.011760571616962878,0.9883107110807499,0.00041248138260585425,False,4.404544363372701,4.421059415172973,4.4028179462139425,0.44732718831898327,0.3481918836234553,0.4125288210268607
std_motion_energy,0.042792333214105666,0.9581410871031845,0.0014992342851808333,False,29.81671049885434,29.94393747757062,29.841890279115667,1.544317718390024,1.2361511170110655,1.460515388769365
max_motion_energy,,,0.0,False,255.0,255.0,255.0,0.0,0.0,0.0
com_x_std,0.27552911930151747,0.760175632702125,0.009574971235275773,False,0.36003695911703143,0.36310340218886505,0.3678504249659448,0.034488296821257924,0.028582206490985886,0.03463730812972391
com_y_std,0.44220918711520485,0.6448009703824367,0.015279034583480414,False,1.0933708621659295,1.0360534224613573,1.086662118817916,0.2379222098705113,0.1353915543156317,0.22722299585015415
com_x_range,0.9666602193433831,0.3864981549679025,0.032805215740015575,False,1.8272134704903493,1.8568969123475658,2.0198348668029618,0.2863300105391698,0.2098255449063008,0.7128780375640351
com_y_range,0.08706271972557318,0.9167412570922024,0.0030455286550507914,False,5.817911543582204,5.662936199417649,5.709666270930228,1.438831443293989,1.0328889992195878,1.0002016507732479
mean_width,0.12559251466098745,0.8822175507158401,0.004387420571122986,False,19.011833333333335,19.22483333333333,19.1375,1.3480465187324462,1.3145098262597104,1.2876627728821954
std_width,1.3171955399168291,0.2759147373245028,0.044175698548433,False,2.2561330144355334,2.4279719576877357,2.192717513070028,0.38642943736589497,0.3156465241968271,0.6262386988010197
mean_height,5.19559026930311,0.008457578836214378,0.15417289749612828,True,62.97700000000001,62.97950000000001,62.98766666666667,0.015344199048644269,0.008450838222724463,0.0058783973628499615
std_height,3.875575042504698,0.026416788477625786,0.1197060808979307,True,0.154333426711516,0.14902913192385586,0.1120295760914453,0.06892084074044665,0.04241050779412229,0.03553459461010359
mean_aspect_ratio,0.12467994695078422,0.8830194787559889,0.004355514591292917,False,0.3018837023246249,0.30525686109921957,0.30382818236760595,0.02140008468529966,0.020851129276626162,0.02044131054042816
std_aspect_ratio,1.33778895491412,0.270538658490833,0.04482214339862834,False,0.03580985323786187,0.03856193689089079,0.0347992251650939,0.006138598152662748,0.005019946746608263,0.009934550777861657
mean_symmetry,2.6420532311298808,0.0799248984398429,0.08483593570924572,False,0.7900384383076148,0.8047085852598986,0.8028148138300212,0.02551181066253989,0.017385860926041146,0.0205075455000525
std_symmetry,0.2264884022745223,0.7980426836900816,0.007882896330458938,False,0.0686353501631625,0.0670275888265208,0.06666105870336252,0.009138822819828628,0.011728831437833096,0.00751449895968731
mean_step_length,0.16927326495393324,0.8447010048177691,0.005904344377493182,False,14.811763625306583,14.996034080298784,14.967021151363259,1.4275832733144576,0.7542369000240956,0.8359788979786491
std_step_length,0.5389734732829157,0.5862901530521505,0.018560348301961044,False,4.088086258018631,4.346366274721926,4.345436895388206,0.8969211376880194,0.9007778817667358,0.8528328387429223
gait_regularity,0.686220742061888,0.5075857486383201,0.023511683976343067,False,0.2583151499945548,0.2422029087779499,0.2381435649250979,0.0635190936724363,0.06056803828815078,0.04185581940022953
upper_body_motion,0.13721235802711068,0.8720721548878254,0.004791400654213658,False,7313.528428093645,7281.801672240802,7202.833110367892,803.2298007786542,531.9397083163017,649.3745278424889
lower_body_motion,0.05391419740335884,0.9475616613750456,0.0018881543535722472,False,10727.485284280938,10826.857692307693,10831.109197324413,1167.303298834447,965.6227336683943,1157.6943474959164
upper_lower_ratio,0.559793012708426,0.5744361830520004,0.019263348124895836,False,0.6840690533399161,0.6744092810138713,0.6679649112303704,0.052647442229524055,0.0377297319418488,0.04994241844960191
